<expr>,ct.count,
/INDS/CLAY/MANAGE5208,318720,
/ADVAN/CC/CONNMA5171,318659,
/INDS/SD/KENNEY9943,318105,
/ALAW/IND/ALAWMA4982,315591,
/LAU/DC2/ROBERT4450,314719,
/INDS/NPB/BLACKL1165,314049,
/INDS/1722/LOUNGE8962,314048,
/ENT/300/AKLD844080,313913,
/INDS/DC2/LOUNGE8006,313578,
/LAU/DC2/PAULSO6394,312197,
/INDS/HUD/ARCHIV0224,311994,
/CARR/LIB/SITEDT1139,311945,
/SER/DUB/LOUNGE9495,311512,
/SER/80T/SITEDT1281,310996,
/JLL/NSH/MPLOYE3791,310436,
/INDS/DART/MANAGE1782,309930,
/INDS/NYC7/TRABAI4917,309813,
/INDS/HY/OBSIDI3316,308840,
/INDS/SEA/MANAGE7649,306521,
/INDS/CM/HITTCO1650,306197,
/INDS/NYC6/BEACON7788,305678,
/CARR/MAM/WIFIGU1436,305343,
/KILN/PC/VALKOR7598,304994,
/PREM/IRV/PARAGO1511,304377,
/INDS/STP/MANAGE2976,304173,
/INDS/PHI2/GUESTW9556,303734,
/INDS/NYC7/MANAGE0752,303358,
/MC/HOU/SMATEC5545,303042,
/HUGO/KEAR/SKANSK7865,302818,
/INDS/HUD/GUESTW1488,302621,
/INDS/LA5/MANAGE5452,302375,
/SER/KAN/T2FINA0570,301791,
/SER/BUF2/ERNSTY3350,301712,
/SER/MAD/GUESTW0809,300714,
/INDS/BOST/GUESTW6449,297077,
/INDS/HY/GECKOR7158,296915,
/CARR/POS/WOLFER9751,296807,
/CARR/MAM/SITEDT2333,296801,
/LAU/MD1/GUESTW2725,296781,
/INDS/LA1/LOUNGE9709,296585,
/INDS/6060/BEAMLI9952,296478,
/CARR/1701/CREDIB7573,296242,
/TISH/1230/NEOSCA4357,295049,
/INDS/DC9/CAPITA9918,293676,
/TISH/CS/FIREBI5025,293499,
/INDS/IRV/MANAGE7588,292803,
/INDS/HUD/LOUNGE7278,292783,
/INDS/LA3/CARDIO5420,290803,
/INDS/BOULD/NEATLA2605,290450,
/INDS/TYS/LOUNGE7382,289419,
/INDS/DC3/GUESTW1906,288899,
/INDS/HUD/YARDLI3589,288316,
/INDS/GLEN/WRIGLE8752,287983,
/INDS/BOULD/MAPRAG3765,287061,
/INDS/HOU2/INFLEX6509,286782,
/DCW/GST/GUIDED9736,286132,
/INDS/SAN2/RECURR9393,286004,
/INDS/PAS2/FAIRWA6030,284949,
/INDS/DED/NEWCO15321,284877,
/INDS/SAN3/CAPABU7662,283998,
/INDS/DIV/RESTAU1654,283888,
/INDS/NYC4/INDUST0083,283886,
/INDS/SAN2/AERISP3092,283521,
/LAU/DC2/DAVISG1178,283340,
/INDS/STP/ISOCRA6466,282991,
/FUSE/AUS/ALLIAN5723,282266,
/INDS/COL2/TRANSL6275,281698,
/INDS/1PP/KOREAI2263,281417,
/TISH/1270/CITIZE3542,281187,
/KILN/PC/DANSCH4527,281083,
/INDS/PHX2/MANAGE9860,280636,
/INDS/BOULD/HUDSON1601,280103,
/INDS/SEA/FIXIEA5561,279812,
/CARR/DIA/KINGI91442,279672,
/INDS/BOST3/MOBILE9602,279575,
/INDS/909/GUESTW9563,279424,
/SER/BUF2/ANTUNO0561,279186,
/INDS/FSQ/UPLINQ1701,278634,
/LAU/DC2/LATTIC2994,278485,
/TISH/AQWA/SPREAD6263,278426,
/CC/PLA/REDBOS1280,277946,
/CC/PLA/TIG7234194,277757,
/CARR/ER/WIFIGU1409,277326,
/INDS/FSQ/BLUEIN2283,277216,
/INDS/PIT2/OPUS223186,276438,
/TISH/BOS/STUDIO2965,276168,
/SER/WSP/SHADMO6685,276056,
/JLL/LIC/ELEVAT1570,275749,
/INDS/KC/COMPAS6181,275662,
/OLI/CAR/GARRET2950,275410,
/INDS/1801/GRESHA0964,275229,
/ADVAN/CC/NORTHA1791,274641,
/INDS/NYC/VEHO750826,274343,
/ES/MS/DEMOOC1142,274322,
/CARR/MAM/CHRIST1724,273764,
/INDS/SAN2/STRATE9076,273747,
/INDS/1PP/MANAGE5445,273601,
/INDS/GLEN/UNIFIE6120,273251,
/CARR/LAS/WIFIGU9891,273190,
/CC/PLA/HEROSF1346,272515,
/INDS/6601/DENTSU8301,272291,
/INDS/IRV/OCREPI6398,272027,
/LAU/DC2/RETHIN3348,271220,
/JLL/CHES/JANSSE4684,271111,
/INDS/WC/ALETHA6188,270305,
/INDS/STP/LOUHAM6394,269896,
/TISH/DC/METROP4891,269277,
/MAY/WAU/MATTER7589,269051,
/INDS/HY/CHATHA6202,268950,
/INDS/SAN2/PROTAG0672,268888,
/CARR/300/SITEDT1434,268629,
/INDS/PAS2/GUESTW6750,268355,
/INDS/LA3/ATLANT0158,268235,
/CARR/300/THERMO5312,268000,
/VX/DEN2/CHRISR0615,267494,
/INDS/BOST/BOWENA8861,267190,
/VX/OAK/GUESTW2805,266956,
/INDS/NYC6/ROOTSA1581,266838,
/INDS/HUD/VOLRES9138,266316,
/INDS/GLEN/MANAGE7353,266074,
/INDS/1801/BROADP8618,266002,
/CC/FW/TEKSYS9321,265651,
/OLI/CAR/MUTUAL9586,265028,
/INDS/ABER/THOUGH7066,264932,
/INDS/135/AMBERH4118,264310,
/INDS/SAN2/CRESTA4068,264213,
/JLL/CHES/PROSOF6412,262890,
/INDS/LA3/INDEPE9732,262727,
/SER/ATL3/GUESTW8690,262592,
/INDS/LA3/REGALC0520,262445,
/VX/ARL/GUESTW9692,262202,
/INDS/LA5/GUESTW2877,262183,
/INDS/NYC3/EDRAPU1163,261844,
/CARR/LAS/PREFER1808,261256,
/INDS/LAS/GUESTW4456,260685,
/LAU/VIR/MANAGE4721,260172,
/CC/FW/CLOUD98252,259847,
/INDS/152/CHAMBE1572,259121,
/ES/SM/TEST2P8266,259011,
/INDS/GLEN/VENBRO8352,258899,
/INDS/6060/GIGS324600,258707,
/CARR/EMB/CONRAD7782,258135,
/INDS/BOST/CYBERI2254,258071,
/INDS/SFL/VECTOR6437,257743,
/CARR/EMB/MANAGE7217,257578,
/INDS/PLA/ASIATI3947,257530,
/VX/DEN2/WEBOLU8789,257496,
/SYW/PB/DOWBUI9828,257128,
/TISH/CHI/GUESTW9300,257117,
/TISH/595/TIDEMA6295,257001,
/INDS/BLS/LOCALN3043,256937,
/INDS/PHI3/IBM8394793,256882,
/INDS/WC/EXABYT9636,256767,
/CARR/LAS/ALPINE5426,256736,
/EXEC/HIP/FISHER9948,256589,
/INDS/1PP/QUALTR7466,256535,
/INDS/NYC4/BDIPLU1905,255997,
/INDS/CARM/EOADVI7087,255719,
/JLL/TYS/GUESTW9026,255464,
/INDS/1PP/OCTOPU4882,255388,
/INDS/323/BRIGHT8084,254115,
/INDS/DC4/GUESTW4768,253754,
/LAU/DC2/VERYAB0797,253729,
/JLL/CHI/NOBLEN3073,253509,
/INDS/NYC/EVERFI9350,253414,
/INDS/BOULD/ENVIRO3023,253206,
/ES/MS/ALLIAN6223,252654,
/INDS/NYC7/SYKELE2894,252523,
/INDS/NYC/RETIRA3928,252485,
/INDS/BOULD/GUESTW6355,252131,
/INDS/ROSE/LINOWE2210,251587,
/INDS/PAS2/BRIANP9478,251325,
/INDS/1411/GUESTW5290,251245,
/TISH/BEV/WINAFF1729,250138,
/INDS/CAM/GUESTW2727,249972,
/INDS/1801/WBENGI6066,249666,
/INDS/SFL/BOUL341885,249271,
/DD/WB/VERSUS2385,249248,
/INDS/DART/DOWLIN2594,249223,
/INDS/2311/SARACE4700,249121,
/INDS/SFL/LOUNGE5334,248928,
/EXEC/HIP/LANGHA9076,248773,
/INDS/135/REDLIN2308,248698,
/MC/HOU/WERCHA4483,248007,
/INDS/SAN3/ABLEAI3229,247732,
/INDS/135/MANAGE9023,247247,
/TISH/1230/EVERLA0308,246956,
/INDS/SEA/GUESTW6225,246843,
/TISH/AQWA/STUDIO2120,246221,
/INDS/BOULD/MANAGE7040,246071,
/CARR/LIB/WIFIGU1688,246070,
/CARR/LAS/DAVIDA0427,245828,
/INDS/HOU2/NOWELL2638,245595,
/EXEC/HIP/MARIAN9330,245267,
/CARR/LAS/MAXIMH5043,245165,
/CC/NCE/JWTAXA8312,244795,
/INDS/COL2/GUESTW4201,244659,
/INDS/SEA/RUBRIK6962,244383,
/INDS/2311/FIVECA0322,244084,
/TISH/595/NIRVAN9689,243934,
/INDS/MAN/INSTAC4546,243026,
/SER/ATL/GUESTW9053,242518,
/JLL/LIC/GUESTW5001,242466,
/INDS/BET/LOUNGE1767,242069,
/INDS/CHI2/MANAGE9367,241558,
