<expr>,capture.hostname,<expr>,<expr>,
/DCW/FAR,acc-capture-ny1-01,38,11,
/GWC/SA,acc-capture-tx-01,38,7,
/INDS/SEA,acc-capture-sv2-02,38,7,
/TISH/CON,acc-capture-ny1-01,38,7,
/ENT/5500,acc-capture-sv2-02,36,7,
/CARR/SFL,acc-capture-sv2-02,34,10,
/INST/SM,acc-capture-se2-01,33,3,
/CC/PLA,acc-capture-atl-01,32,4,
/HELIX/535,acc-capture-ny1-01,31,7,
/INDS/SEA2,acc-capture-sv2-01,31,4,
/INDS/MIA3,acc-capture-atl-01,31,2,
/SER/80T,acc-capture-ny1-01,30,3,
/INDS/CLAY,acc-capture-sv2-02,29,10,
/INDS/IRV,acc-capture-ny1-01,29,8,
/SER/DUB,acc-capture-ny1-01,29,5,
/WAG/BX,acc-capture-ny1-01,29,5,
/CARR/1050,acc-capture-ny1-01,28,10,
/ARP/VAN,acc-capture-se2-01,27,9,
/ES/MS,acc-capture-atl-01,27,8,
/SER/RID,acc-capture-tx-01,27,3,
/SER/ORL,acc-capture-ny1-01,25,15,
/SCC/CHI,acc-capture-tx-01,25,4,
/VARI/COP,acc-capture-tx-01,25,4,
/DCW/GT,acc-capture-ny1-01,24,8,
/OPT/AL,acc-capture-sv2-02,24,5,
/BR/RES,acc-capture-sv2-02,24,2,
/LAU/DC2,acc-capture-sv2-01,23,4,
/DD/CH,acc-capture-ny1-01,21,9,
/TISH/AQWA,acc-capture-atl-01,21,4,
/ES/SM,acc-capture-atl-01,21,3,
/BR/RES,acc-capture-sv2-01,21,2,
/SCC/CHI,acc-capture-sv2-02,21,2,
/INDS/ATM,acc-capture-atl-01,20,11,
/JLL/NSH,acc-capture-tx-01,20,7,
/ADVAN/LST,acc-capture-ny1-01,19,7,
/ARP/VAN,acc-capture-sv2-02,19,4,
/INDS/SAN,acc-capture-sv2-02,18,9,
/TISH/CON,acc-capture-tx-01,18,6,
/ES/SM,acc-capture-tx-01,18,5,
/INDS/LA1,acc-capture-sv2-02,17,11,
/SER/ROCH,acc-capture-tx-01,16,7,
/TISH/BOS,acc-capture-ny1-01,16,6,
/ES/MS,acc-capture-sv2-01,16,5,
/JLL/RES,acc-capture-ny1-01,16,4,
/CARR/LN,acc-capture-sv2-01,16,3,
/TISH/1R,acc-capture-ny1-01,16,3,
/ES/MS,acc-capture-sv2-02,15,7,
/TISH/AQWA,acc-capture-sv2-01,15,3,
/LAU/DC2,acc-capture-se2-01,14,6,
/INST/SM,acc-capture-atl-01,13,3,
/INDS/IRV2,acc-capture-sv2-02,12,3,
/INDS/RAL,acc-capture-ny1-01,12,2,
